id,age,lifestyle,zip code,family status,car,sports,earnings,label,Living area,State
VnSEFOuL,62,cozily,50168,married,practical,athletics,102526,no response,urban,IA
8Tv0hcce,34,active,66479,married,expensive,soccer,33006,no response,urban,KS
Zny9ysbk,69,healthy,16592,single,expensive,badminton,118760,response,urban,PA
HV3xCamM,57,cozily,50068,married,practical,soccer,131429,response,urban,IA
sflRsQ6v,66,cozily,35988,single,practical,badminton,96003,response,urban,AL
w9voDHj0,21,healthy,60039,single,expensive,badminton,83376,no response,urban,IL
VUkT58V5,22,healthy,69662,married,practical,badminton,49826,no response,rural,NE
HzMvC0c1,59,cozily,40432,single,practical,soccer,41166,response,urban,KY
B9MsYPOR,63,active,55994,single,practical,badminton,134340,response,urban,MN
mWUY9Cjs,31,active,37460,married,practical,athletics,108695,no response,rural,TN
Lavsf4Ms,60,cozily,36782,single,practical,,49723,response,rural,AL
kNAihUVY,38,healthy,12447,single,expensive,soccer,105801,response,rural,NY
FHL6d3WH,36,active,56504,married,expensive,athletics,79703,no response,rural,MN
taO86r6P,30,cozily,84343,single,expensive,soccer,68693,no response,rural,UT
qQSz8WWj,64,healthy,66428,single,expensive,badminton,111755,no response,urban,KS
waFEJp2V,37,cozily,18272,married,practical,badminton,36430,no response,rural,PA
CGEljPBt,61,cozily,24254,married,practical,soccer,129420,response,urban,VA
xQPaw1nF,48,cozily,29470,single,expensive,badminton,78714,no response,rural,SC
TW0vcILS,15,cozily,78136,married,expensive,soccer,87219,no response,rural,TX
VzsFKacF,51,cozily,65878,married,expensive,,123879,no response,urban,MO
39OUyKYK,41,cozily,15047,married,practical,athletics,137658,no response,urban,PA
9uXUHkgm,30,cozily,87888,single,practical,athletics,89243,no response,rural,NM
GXQC3KVx,51,active,18734,single,expensive,soccer,22977,no response,rural,PA
I9SVyAUt,69,active,49871,married,expensive,badminton,26163,response,rural,MI
hjEpM280,58,healthy,62849,single,expensive,soccer,59449,response,rural,IL
H1T9XHHR,42,cozily,59763,single,expensive,soccer,131437,no response,urban,MT
iutFmkL2,46,active,38692,single,expensive,badminton,80137,no response,rural,MS
YbKy0PQ7,19,cozily,50378,married,practical,,98007,no response,urban,IA
BQg9yrvw,24,active,87832,married,practical,soccer,67545,no response,urban,NM
CDXBWyZJ,63,active,86216,single,practical,athletics,91080,response,urban,AZ
3yYxpFte,27,active,96490,married,expensive,soccer,149929,response,rural,AP
At76h3t6,60,healthy,75536,single,practical,,54813,response,rural,TX
elkTzJGN,41,healthy,70981,single,practical,,100388,no response,rural,LA
qVbhy5GA,63,healthy,41117,married,expensive,athletics,116561,response,urban,KY
F8dwyNuu,15,active,85260,married,expensive,athletics,110335,no response,urban,AZ
gxswUTWs,54,active,98387,single,expensive,,121867,no response,urban,WA
Q2bygRVO,19,cozily,38819,single,expensive,athletics,28510,no response,rural,MS
PXKyaUwn,59,cozily,74876,married,expensive,athletics,102274,response,rural,OK
FnmvD5Rp,27,cozily,68083,married,expensive,badminton,77466,no response,urban,NE
vw2p7EkR,58,active,87307,married,practical,soccer,63791,response,urban,NM
n1XQJ0mm,50,active,12609,single,practical,athletics,103364,response,urban,NY
66MA2Tqh,34,healthy,61340,married,expensive,,70684,no response,rural,IL
CbG0Z3UF,53,active,89474,single,expensive,athletics,148014,response,urban,NV
afMFwPFx,26,active,79384,married,practical,soccer,104627,no response,rural,TX
WHByVff4,33,cozily,87140,single,expensive,soccer,56971,no response,urban,NM
YkiL3hPG,24,cozily,20122,single,practical,badminton,24389,no response,urban,VA
FzbVi68D,47,active,43557,single,expensive,,115979,no response,rural,OH
cAmqKr3E,58,cozily,45422,single,practical,badminton,125512,response,rural,OH
meSLlsDr,54,active,39049,single,practical,soccer,58106,no response,rural,MS
h8cFU8xZ,51,healthy,51994,married,practical,soccer,109468,no response,rural,IA
UbcNhsBi,40,active,58315,single,expensive,badminton,57952,no response,rural,ND
nJ2tATx4,65,active,94896,married,practical,athletics,47402,response,rural,CA
13a8vQ3d,28,cozily,83854,single,practical,soccer,87285,no response,rural,ID
ms7kvQ1h,44,cozily,76491,married,practical,badminton,61316,no response,urban,TX
mNPrJCok,68,active,63961,married,expensive,soccer,54092,response,urban,MO
uLesTOhx,15,cozily,71108,married,practical,athletics,78698,no response,urban,LA
CATLXO8O,56,cozily,82835,single,practical,,63512,response,urban,WY
zamLhLJM,57,active,10321,single,expensive,soccer,79263,response,urban,NY
Z9nLYOd3,66,cozily,69458,married,expensive,badminton,96450,response,rural,NE
KiSlLJtj,36,healthy,78510,married,practical,athletics,97491,no response,urban,TX
qURcGDrR,19,active,94971,married,practical,athletics,113416,no response,rural,CA
qJlQXfD0,68,cozily,28981,married,expensive,,83786,no response,urban,NC
ZdUcVHMV,45,active,61132,single,expensive,soccer,64952,no response,urban,IL
WoxMSfzB,35,healthy,31796,single,expensive,athletics,93559,no response,rural,GA
67wSzOcP,59,active,86681,married,practical,soccer,102630,response,rural,AZ
rhkSkZ6X,59,cozily,72854,single,practical,badminton,141220,response,rural,AR
aR8ZkRSf,67,cozily,11684,married,expensive,badminton,129735,response,urban,NY
jsmebUjG,16,cozily,39363,married,expensive,athletics,45802,no response,urban,MS
MjHC01PR,30,active,32323,married,practical,soccer,98925,no response,urban,FL
drCalP5K,62,healthy,30676,married,practical,athletics,48604,no response,rural,GA
d7GUIRwb,65,active,25242,married,expensive,soccer,73070,response,rural,WV
wz16b2Wh,68,healthy,69697,married,expensive,soccer,59331,response,rural,NE
TOrLzfCS,52,cozily,86626,married,practical,soccer,124014,no response,rural,AZ
ITg8HadT,45,healthy,65979,married,practical,soccer,136460,no response,urban,MO
kwVG122G,22,healthy,48480,single,expensive,soccer,103454,no response,urban,MI
gTIEVtVg,59,healthy,34093,single,practical,soccer,80012,no response,rural,AA
kJz9IJlS,22,cozily,61126,single,practical,badminton,48629,no response,urban,IL
QbDNGvUt,24,healthy,76439,single,expensive,badminton,123435,no response,urban,TX
090ca9kJ,66,cozily,12327,married,expensive,athletics,133819,response,rural,NY
Ir4xHnip,17,active,94864,married,practical,soccer,65063,no response,rural,CA
kfF8BfcW,25,cozily,69514,single,expensive,,136781,response,urban,NE
iyElztiL,58,healthy,24216,single,practical,athletics,114007,no response,rural,VA
ul4UcZsD,15,cozily,16074,married,expensive,badminton,91692,no response,rural,PA
kUOO2AnO,51,active,56855,single,practical,soccer,75831,no response,urban,MN
YwwX4mtu,47,cozily,24732,married,expensive,soccer,77331,no response,rural,WV
2uQoXFQG,23,healthy,51385,single,practical,athletics,78351,no response,urban,IA
HYdHuHGC,54,healthy,64208,married,practical,soccer,29955,response,urban,MO
yRUeSAir,15,cozily,32210,single,expensive,soccer,62273,no response,urban,FL
fN90pzb9,61,healthy,50339,single,practical,athletics,36090,response,urban,IA
H9fhimaJ,60,healthy,94952,married,practical,soccer,28995,response,rural,CA
OWxN4PVd,52,active,17844,single,expensive,soccer,72578,no response,urban,PA
xX7NsmGI,27,cozily,79970,single,practical,soccer,29578,no response,urban,TX
Kv9WAdXj,39,healthy,11443,single,practical,badminton,43981,response,urban,NY
neltptuV,69,healthy,67236,single,practical,badminton,73849,response,urban,KS
8B0TYHsy,25,active,25971,single,practical,athletics,54438,no response,urban,WV
MzYT0UQu,66,cozily,86689,married,practical,badminton,31668,response,rural,AZ
stD2jLWW,68,cozily,85629,married,practical,athletics,60949,response,urban,AZ
XcxgayS0,59,cozily,72072,single,expensive,athletics,80245,no response,urban,AR
LUiKqsuT,54,healthy,76910,married,expensive,soccer,37506,no response,rural,TX
fA791Y1x,44,healthy,31688,single,expensive,,86851,no response,rural,GA
WVAB6LXa,51,active,35146,married,practical,athletics,115293,no response,rural,AL
vM2QcGim,61,healthy,85445,single,practical,soccer,86054,response,urban,AZ
vVxcKUEm,67,active,28692,single,practical,soccer,32560,response,rural,NC
xPYI7zEg,16,active,76640,married,expensive,soccer,55524,no response,urban,TX
Qwy8ZSi1,16,active,20610,married,practical,athletics,50492,response,urban,MD
FvM7sRv5,20,active,56811,married,practical,badminton,20604,response,urban,MN
niBIzqvb,33,healthy,61303,married,practical,athletics,47944,no response,rural,IL
BpucccAj,27,cozily,79313,single,expensive,athletics,34995,no response,rural,TX
hRp17vnb,24,healthy,77730,single,expensive,soccer,77670,response,urban,TX
yj9EsZWj,69,healthy,37400,married,practical,soccer,92079,response,urban,TN
ZGiDP0Er,30,cozily,53185,married,expensive,athletics,60548,no response,urban,WI
5mqco3XF,27,active,76956,single,expensive,athletics,26328,no response,rural,TX
dTHuA29C,49,active,58250,single,expensive,soccer,32693,no response,rural,ND
Yjkl1Ty3,16,cozily,55530,married,practical,soccer,149335,response,rural,MN
sLNsHHcT,43,cozily,63343,single,expensive,athletics,24688,no response,rural,MO
kWInSae2,31,active,30377,married,expensive,athletics,99055,no response,urban,GA
bNnPEISc,55,healthy,73877,single,expensive,athletics,125616,no response,urban,OK
KCEpk8XI,57,cozily,10875,married,practical,badminton,146961,response,urban,NY
dXabs1sQ,21,healthy,64553,single,practical,soccer,80457,no response,urban,MO
RhNVROnz,30,cozily,79870,single,expensive,athletics,90866,no response,urban,TX
h8JH7n9W,16,healthy,76571,married,practical,badminton,60632,no response,rural,TX
Z8NeYAUr,35,healthy,35898,single,practical,soccer,141347,response,urban,AL
JGE4W6aT,53,healthy,98897,single,practical,badminton,76635,no response,rural,WA
hbI3Oz5G,38,healthy,65674,single,practical,soccer,113611,no response,urban,MO
idWANv5b,47,active,88664,married,expensive,athletics,65625,no response,urban,TX
MX2PmAg1,43,cozily,59070,married,expensive,,141106,response,urban,MT
olKl8ca1,23,active,47311,married,practical,athletics,40608,no response,rural,IN
1d1QkXI8,36,cozily,53383,single,expensive,athletics,149371,response,rural,WI
ZRjVdLr9,57,active,98446,married,expensive,athletics,125016,response,rural,WA
nDVB82WA,34,active,82317,single,expensive,,135749,no response,rural,WY
ewIsUbDF,50,active,59902,single,expensive,,144545,response,rural,MT
LQ02Q640,28,cozily,80935,married,practical,soccer,109916,response,urban,CO
npivuqjT,46,cozily,62104,married,practical,badminton,48690,no response,rural,IL
Lim4wmC8,43,healthy,17441,married,practical,athletics,47162,no response,rural,PA
FsdoBsTV,46,active,58215,married,practical,soccer,93354,no response,urban,ND
QchrLC5q,25,active,97213,married,expensive,soccer,40076,no response,rural,OR
tc6txQSQ,67,cozily,15370,single,expensive,,124809,response,rural,PA
RINZQ6DX,21,active,33231,married,practical,soccer,76876,no response,urban,FL
3NquLfXN,61,active,99554,single,practical,badminton,65005,response,rural,AK
g9IgbAjm,35,active,15002,married,practical,athletics,148310,response,urban,PA
kt3pwk4q,56,active,27849,married,expensive,,121091,no response,rural,NC
3UVSoSIy,31,active,40257,single,practical,soccer,29692,no response,rural,KY
j0eTu209,27,cozily,22132,married,expensive,,146527,response,urban,VA
1kLwPVOs,17,cozily,75587,single,expensive,soccer,124502,no response,rural,TX
QnSTGKiN,24,healthy,93920,single,expensive,soccer,66142,no response,rural,CA
0cphf9Vx,19,active,10246,single,expensive,soccer,73525,response,rural,NY
1oupt5eN,37,healthy,88048,married,practical,athletics,72318,no response,urban,NM
UOznhlU1,60,healthy,70658,married,expensive,,120778,response,rural,LA
8zYGk0Xn,62,active,64030,married,practical,soccer,77130,no response,urban,MO
sDjL5PdL,59,cozily,91079,single,expensive,,59670,response,rural,CA
zZkiEtL6,46,healthy,64789,married,expensive,athletics,97758,no response,rural,MO
Z3m2dTzd,35,cozily,55359,single,expensive,athletics,77189,no response,urban,MN
jXSOGoJb,27,cozily,31777,single,expensive,,29220,no response,urban,GA
fzaohBZH,52,healthy,10685,married,expensive,soccer,130660,response,rural,NY
7YP8avIy,44,active,11454,married,practical,soccer,108923,response,rural,NY
RVmXL3Li,42,active,98352,married,practical,,28956,no response,rural,WA
4VTECUqg,36,cozily,43081,single,practical,athletics,30367,no response,urban,OH
YVFAbqKe,66,healthy,53273,single,practical,,32622,response,urban,WI
COZcWwNq,41,healthy,87654,married,practical,,64434,no response,urban,NM
NLzuLxI0,17,healthy,16505,married,practical,badminton,60330,no response,urban,PA
HpIbWYrE,43,cozily,95082,married,practical,athletics,38593,no response,urban,CA
dqBrnKVb,49,active,56796,single,practical,soccer,102523,no response,urban,MN
sZioyspX,30,cozily,43051,married,practical,athletics,46899,no response,urban,OH
GgWTcEhn,17,active,37128,single,practical,athletics,72945,response,urban,TN
eZHCAEVM,66,active,30986,married,practical,athletics,133074,response,urban,GA
3Gnkm6ZO,24,healthy,41721,married,practical,athletics,108721,no response,urban,KY
hqoByCLE,20,cozily,36773,married,expensive,athletics,84842,no response,urban,AL
ASpRMxey,45,cozily,13705,married,expensive,athletics,91291,response,urban,NY
TcqJOwK6,41,active,14651,married,expensive,soccer,56143,response,rural,NY
K7GBlFO2,42,healthy,42214,single,expensive,athletics,29581,no response,rural,KY
vBQ0wTRp,65,active,41279,single,practical,badminton,67765,response,rural,KY
tMKisFg0,28,cozily,96857,married,expensive,soccer,101874,no response,urban,HI
QkE1EXUx,39,cozily,51159,single,expensive,,109136,no response,urban,IA
l6rYtSOQ,19,healthy,99182,married,expensive,soccer,143546,response,urban,WA
UuPOJRma,18,active,45527,single,expensive,soccer,149809,response,urban,OH
Y8nigDHy,67,cozily,79635,single,practical,athletics,77583,response,urban,TX
wKKJ0vIl,45,cozily,93331,married,expensive,badminton,84301,no response,urban,CA
L2stypTa,64,cozily,43001,single,practical,athletics,60618,no response,urban,OH
rM6f0Wvf,35,healthy,11940,married,expensive,soccer,125419,response,rural,NY
QbIgdHhG,66,active,10591,single,expensive,badminton,28406,response,rural,NY
Ed9DtElK,42,active,24430,married,practical,badminton,131904,no response,urban,VA
i5nmAVj4,43,active,37243,married,practical,,130405,no response,urban,TN
arVgNNAW,54,healthy,77409,single,practical,athletics,20832,no response,urban,TX
PjytxIgQ,20,cozily,60981,married,practical,badminton,45974,no response,urban,IL
S2LHgJ62,21,cozily,61865,married,practical,soccer,83402,no response,rural,IL
KPrrctk2,16,active,93100,married,practical,badminton,111256,no response,urban,CA
d4UxrQhM,63,healthy,87215,single,practical,athletics,39121,response,urban,NM
273ww5t0,32,active,53604,single,expensive,soccer,66720,no response,urban,WI
cWHkNex7,45,active,93320,single,practical,soccer,96099,no response,rural,CA
MiFCRpRJ,42,active,24618,single,expensive,soccer,43308,no response,rural,VA
ekrlrahi,67,cozily,70173,married,expensive,,114732,response,urban,LA
enGjI27s,45,cozily,77954,single,practical,badminton,46615,no response,rural,TX
iqX0zFPd,69,healthy,83269,single,expensive,athletics,87810,response,urban,ID
5xQWP7v4,23,active,21580,married,practical,athletics,114741,no response,rural,MD
Pnoj3Ps9,50,active,89503,married,practical,soccer,59293,no response,rural,NV
i4UfC7mj,69,cozily,60351,married,expensive,athletics,92938,response,urban,IL
A9BLlzmW,49,active,25102,married,practical,soccer,121728,no response,urban,WV
riE0925e,23,healthy,54798,single,practical,,88450,no response,rural,WI
fWCXldV0,61,healthy,42208,single,expensive,badminton,103518,response,rural,KY
6ZSUMdhS,42,active,19799,married,practical,badminton,70656,no response,rural,DE
JeCKj4zK,22,healthy,92513,married,practical,athletics,107623,no response,urban,CA
dKy7yAsZ,40,healthy,34336,single,expensive,soccer,28927,no response,urban,FL
1is4KCIA,56,active,62158,married,expensive,,135959,response,rural,IL
FuVSitCY,30,healthy,19728,married,expensive,athletics,57473,no response,rural,DE
YU3LDay5,31,active,21515,single,expensive,athletics,69189,no response,urban,MD
30LBe4rl,30,active,25866,married,expensive,athletics,100624,no response,urban,WV
KfNlcrW4,37,active,16059,married,expensive,athletics,99343,no response,urban,PA
nJx4mBVo,40,cozily,81643,married,expensive,,132506,no response,rural,CO
S5FPwMl5,30,active,58190,married,practical,soccer,120294,no response,urban,ND
sQhM8WQT,61,healthy,25739,single,practical,soccer,43450,response,urban,WV
Ao0RI5TV,27,healthy,59802,single,expensive,athletics,77260,no response,urban,MT
vq8zpuhr,24,active,41036,married,expensive,badminton,130994,no response,rural,KY
0FDiWKNV,64,cozily,90988,single,expensive,soccer,33649,response,rural,CA
h1MuNe09,43,cozily,36818,married,expensive,badminton,89340,no response,rural,AL
a5N07ozO,37,healthy,41663,married,expensive,athletics,56128,no response,urban,KY
GBU3qEZe,65,cozily,30199,single,expensive,athletics,47182,response,urban,GA
1tJFwkkI,57,cozily,37416,single,expensive,,140468,response,urban,TN
1n1dISrP,65,active,25706,married,practical,athletics,62001,response,urban,WV
QZA5yqEX,47,active,47944,married,expensive,soccer,29867,no response,rural,IN
UnRW1eIc,48,active,62741,married,practical,,87365,no response,urban,IL
E0f88MUz,49,healthy,27502,married,practical,athletics,30777,no response,urban,NC
HppKWUf8,49,cozily,94791,married,expensive,badminton,54975,no response,urban,CA
34vN3ogk,61,active,45774,single,expensive,badminton,30018,response,urban,OH
qOaolruf,35,cozily,82423,single,practical,soccer,66330,no response,urban,WY
Tb7Juu5A,22,active,95873,married,practical,badminton,91423,no response,urban,CA
9zh6hajd,59,healthy,74243,single,expensive,soccer,113662,response,urban,OK
WEAsLDKb,17,active,60862,married,expensive,athletics,149552,response,rural,IL
KX5OMxwM,55,active,53199,single,practical,soccer,67874,no response,urban,WI
MJQLSCj4,45,healthy,61952,single,practical,badminton,71735,response,urban,IL
ZAkPUI55,16,active,15470,single,expensive,athletics,20508,no response,rural,PA
cOezXCWx,54,healthy,20509,married,expensive,badminton,124165,no response,rural,DC
SlBQ2PyC,38,healthy,92385,single,expensive,athletics,101225,no response,rural,CA
R3JACCjb,28,healthy,25374,married,practical,soccer,125760,no response,rural,WV
NUHR79QK,17,healthy,70269,single,practical,badminton,59356,no response,rural,LA
uuX0knpz,40,active,54220,married,practical,,144941,response,rural,WI
zbJSIinX,36,healthy,87994,single,practical,athletics,67654,no response,urban,NM
yWPGGGmg,51,cozily,90757,married,expensive,soccer,41504,no response,urban,CA
kCnjP7QI,41,cozily,75848,married,expensive,,136839,no response,urban,TX
pkm22x6d,28,active,32727,married,practical,badminton,142791,response,urban,FL
5D5FPKjN,39,healthy,66666,married,practical,soccer,60849,no response,urban,KS
yo233Tet,54,healthy,20172,single,practical,athletics,74653,no response,urban,VA
Fpmu5QRd,42,active,35598,married,expensive,,21952,no response,urban,AL
Og1QZZtA,54,healthy,34543,single,practical,,74871,no response,urban,FL
yHOtHkPE,24,cozily,23000,single,practical,badminton,127607,no response,rural,VA
aNx1urLy,43,cozily,67960,single,expensive,athletics,123523,no response,rural,KS
AlWLZNNy,24,healthy,45640,single,expensive,soccer,127923,no response,rural,OH
Titkywlw,22,cozily,92131,married,expensive,soccer,131460,no response,rural,CA
AqiSVf3M,29,cozily,44907,married,practical,soccer,58028,no response,urban,OH
JAsarCfy,17,healthy,16494,married,expensive,athletics,124011,no response,urban,PA
F92ipBIE,40,healthy,66449,single,practical,athletics,147350,response,rural,KS
tb3MsI5q,15,healthy,29734,married,practical,athletics,44627,no response,rural,SC
CvEeTBOy,15,healthy,40126,married,practical,,131415,no response,urban,KY
EmyTRpUJ,20,cozily,79890,married,expensive,athletics,59059,no response,urban,TX
JbOv5RpQ,51,active,88540,married,expensive,soccer,57813,no response,rural,TX
sLS3LP0x,24,active,98162,single,practical,soccer,47708,no response,urban,WA
oahHP9M0,24,cozily,24008,single,practical,athletics,80559,no response,urban,VA
UMOeUxHp,17,healthy,34082,single,practical,soccer,117938,no response,urban,AA
dl9xGNMt,34,cozily,90268,married,expensive,badminton,119518,no response,urban,CA
RFH5myw0,42,active,69390,married,practical,,69135,no response,rural,NE
zmFQLxt2,16,active,35920,married,expensive,soccer,100588,no response,rural,AL
TbLWBmUU,69,active,13286,married,expensive,soccer,42127,response,rural,NY
J4y8A4xt,51,cozily,76872,single,practical,badminton,125140,no response,urban,TX
E05FuJCz,54,active,78257,single,expensive,badminton,68121,no response,urban,TX
twEwPLux,22,active,43112,single,practical,badminton,31347,no response,rural,OH
02O08suQ,63,healthy,90052,married,practical,badminton,27722,no response,urban,CA
xFuuZDbm,23,healthy,79239,married,practical,,58863,no response,urban,TX
GLzGXlZl,37,cozily,89682,single,expensive,,43391,no response,rural,NV
nDOtebAy,60,cozily,39148,married,practical,,83967,response,rural,MS
BigiaVHU,17,cozily,48328,married,expensive,athletics,138623,no response,rural,MI
OJIbMpif,15,active,47947,married,expensive,athletics,78094,no response,urban,IN
xAtlgQgp,63,healthy,77613,single,practical,badminton,125353,response,rural,TX
UARevKVC,63,cozily,11645,married,expensive,athletics,109053,response,urban,NY
Yl37fXla,40,cozily,99484,married,practical,athletics,33965,no response,rural,WA
mpvRe2gB,62,active,57302,married,practical,,96719,no response,urban,SD
rTQRDVHV,53,cozily,54001,married,expensive,athletics,42563,no response,urban,WI
